P;1;292716040;496416101;5h18;13h9
P;2;1179868652;269562177;3h59;14h26
P;3;1205022823;447565452;15h41;22h54
P;4;1204987954;493571741;16h58;21h46
P;5;1104540780;443981019;2h34;21h33
P;6;1235213711;292279029;8h2;9h54
P;7;500157031;1152902647;3h36;4h24
P;8;446319866;1155459284;9h28;16h20
P;9;1235206279;1204992383;10h35;17h24
P;10;445053736;445099428;3h29;22h21
P;11;130212550;500774646;2h33;15h49
P;12;446361510;278728300;8h59;19h3
P;13;280205618;1204997199;4h32;21h53
P;14;496415702;292959179;2h58;5h50
P;15;420785299;278485793;8h1;23h13
P;16;433469211;1204987958;17h9;21h15
P;17;292970211;500157170;10h39;20h8
P;18;1160030646;1214153277;5h10;7h1
P;19;431367955;444058683;10h38;19h3
P;20;26121343;1204960532;18h0;18h18
P;21;278974155;1316579928;6h20;12h9
P;22;792698620;433469240;19h4;21h5
P;23;1214152786;242027558;16h6;20h46
P;24;1158183944;277374309;1h4;5h15
P;25;1107376039;1235206839;4h1;9h22
P;26;1182467566;1234721180;6h28;11h7
P;27;1235217634;292716004;16h50;18h49
P;28;447565544;288193943;10h53;20h52
P;29;292970237;1204988086;8h8;19h54
P;30;500774622;500918679;2h4;11h32
P;31;1204987958;288239476;18h23;19h38
P;32;26122840;1103523791;2h53;14h22
P;33;792698607;130213701;17h25;18h50
P;34;446317222;1207065530;18h39;19h15
P;35;1194803369;293054309;16h37;17h14
P;36;500424452;1306995125;14h6;20h9
P;37;1159972835;1204958158;15h35;17h44
P;38;1159972923;445067424;1h44;21h9
P;39;1214152893;702048143;10h53;18h24
P;40;1207060408;26122757;15h45;17h44
P;41;500335435;648998182;4h10;9h5
P;42;293055654;130213681;12h34;14h39
P;43;1295095796;269522187;1h9;19h45
P;44;446319855;293561689;16h10;21h54
P;45;292599090;264117410;15h33;20h28
P;46;445028243;292782820;8h46;22h42
P;47;292622513;1194803420;10h32;15h4
P;48;708249457;130213682;2h55;20h54
P;49;1205022845;26057846;2h47;21h15
P;50;292970883;500918670;3h34;9h52
P;51;278486543;702048221;8h32;18h27
P;52;279907207;1235213738;8h3;23h34
P;53;292622285;447549126;19h58;23h8
P;54;1160057036;251059197;18h16;22h36
P;55;770666477;264117394;4h6;21h9
P;56;277374290;292959014;17h48;22h57
P;57;1295083237;1235206274;1h30;10h9
P;58;1104540997;431947969;9h21;9h47
P;59;295232690;264119325;14h32;20h30
P;60;500424432;26122742;17h17;18h42
P;61;419274222;130213700;10h3;19h35
P;62;277374313;450323999;2h50;6h18
P;63;500666259;292258130;10h8;11h38
P;64;269533024;112664318;3h46;6h30
P;65;1235226247;269523959;14h21;18h21
P;66;295232743;295232660;14h58;18h21
P;67;292782927;269561175;7h58;9h20
P;68;269522216;292782844;8h32;22h55
P;69;264119342;277374241;17h52;20h14
P;70;492816085;295232738;7h32;11h49
P;71;292599109;26122781;9h20;12h48
P;72;292716024;702048342;14h13;17h59
P;73;295232762;292782966;11h24;11h25
P;74;1274575117;292782893;12h13;16h57
P;75;264119327;433469220;0h25;15h12
P;76;1316583843;292621774;18h39;18h59
P;77;445053755;280205667;19h29;21h23
P;78;1129478849;269522183;16h14;18h11
P;79;1233599750;278728297;16h50;19h38
P;80;242027535;1192545821;7h29;9h55
P;81;1104540651;293561819;13h19;21h48
P;82;26122762;1179868757;9h14;16h15
P;83;1104540984;742656630;2h28;11h6
P;84;1204958152;500774680;17h57;18h11
P;85;1205022775;419720604;6h33;19h35
P;86;428672191;26122803;0h12;20h31
P;87;292258130;295232542;2h35;23h54
P;88;1316579788;293561705;5h5;17h21
P;89;447565532;447565527;18h40;21h50
P;90;1235213864;292587058;10h29;21h5
P;91;292622285;1194803418;7h12;16h47
P;92;130213009;278724788;10h1;16h46
P;93;292622565;1194803345;9h2;18h26
P;94;445067435;1234721288;14h0;21h17
P;95;297525961;447549158;1h51;18h35
P;96;293564281;292621861;12h41;16h1
P;97;292782800;279907418;7h4;10h15
P;98;443981004;444063152;13h32;19h0
P;99;1182467581;1179868622;10h41;23h23
